T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.11492, 0.99], [0.22983, 0.01]], [[0.09006, 0.99], [0.18012, 0.01]], [[0.05598, 0.99], [0.11197, 0.01]], [[0.05801, 0.99], [0.11602, 0.01]], [[0.13645, 0.99], [0.27291, 0.01]], [[0.8765, 0.99], [1.75301, 0.01]], [[1.38468, 0.99], [2.76935, 0.01]], [[0.30505, 0.99], [0.61011, 0.01]], [[34.19507, 0.99], [68.39014, 0.01]], [[7.8952, 0.99], [15.7904, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.29164, 0.99], [0.58327, 0.01]], [[0.97054, 0.99], [1.94108, 0.01]], [[7.56732, 0.99], [15.13464, 0.01]], [[0.277, 0.99], [0.554, 0.01]], [[2.65752, 0.99], [5.31504, 0.01]], [[3.27276, 0.99], [6.54551, 0.01]], [[11.65128, 0.99], [23.30256, 0.01]], [[7.41646, 0.99], [14.83292, 0.01]], [[6.03737, 0.99], [12.07475, 0.01]], [[79.10798, 0.99], [158.21595, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.01407, 0.99], [0.02813, 0.01]], [[0.29683, 0.99], [0.59365, 0.01]], [[2.15641, 0.99], [4.31281, 0.01]], [[6.81112, 0.99], [13.62224, 0.01]], [[11.96499, 0.99], [23.92998, 0.01]], [[1.1958, 0.99], [2.39161, 0.01]], [[9.60163, 0.99], [19.20326, 0.01]], [[12.89931, 0.99], [25.79862, 0.01]], [[96.18678, 0.99], [192.37356, 0.01]], [[160.23198, 0.99], [320.46395, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.04588, 0.99], [0.09176, 0.01]], [[0.172, 0.99], [0.344, 0.01]], [[0.42393, 0.99], [0.84785, 0.01]], [[0.45331, 0.99], [0.90662, 0.01]], [[1.64975, 0.99], [3.29949, 0.01]], [[1.62432, 0.99], [3.24863, 0.01]], [[3.14815, 0.99], [6.29631, 0.01]], [[11.09244, 0.99], [22.18488, 0.01]], [[26.92841, 0.99], [53.85681, 0.01]], [[61.92428, 0.99], [123.84855, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.09688, 0.99], [0.19377, 0.01]], [[0.25859, 0.99], [0.51719, 0.01]], [[0.4319, 0.99], [0.86381, 0.01]], [[1.17531, 0.99], [2.35062, 0.01]], [[7.7918, 0.99], [15.58359, 0.01]], [[1.0302, 0.99], [2.06039, 0.01]], [[1.20324, 0.99], [2.40648, 0.01]], [[20.06072, 0.99], [40.12145, 0.01]], [[76.7096, 0.99], [153.41921, 0.01]], [[15.11615, 0.99], [30.23229, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]]]
C=[[[0.14852, 0.99], [0.29705, 0.01]], [[0.02866, 0.99], [0.05732, 0.01]], [[0.00694, 0.99], [0.01387, 0.01]], [[1.91159, 0.99], [3.82317, 0.01]], [[3.42205, 0.99], [6.84411, 0.01]], [[0.14523, 0.99], [0.29047, 0.01]], [[6.86351, 0.99], [13.72702, 0.01]], [[17.08115, 0.99], [34.1623, 0.01]], [[8.50533, 0.99], [17.01066, 0.01]], [[38.32481, 0.99], [76.64963, 0.01]]]

T=[[[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.27739, 0.99], [0.55478, 0.01]], [[2.1923, 0.99], [4.38459, 0.01]], [[2.82453, 0.99], [5.64905, 0.01]], [[1.45709, 0.99], [2.91418, 0.01]], [[0.6758, 0.99], [1.3516, 0.01]], [[9.72099, 0.99], [19.44197, 0.01]], [[9.53808, 0.99], [19.07617, 0.01]], [[34.56938, 0.99], [69.13876, 0.01]], [[20.83183, 0.99], [41.66367, 0.01]], [[3.91722, 0.99], [7.83444, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.0797, 0.99], [0.1594, 0.01]], [[0.07566, 0.99], [0.15132, 0.01]], [[0.12507, 0.99], [0.25014, 0.01]], [[2.09037, 0.99], [4.18073, 0.01]], [[0.02839, 0.99], [0.05677, 0.01]], [[14.10359, 0.99], [28.20719, 0.01]], [[0.38797, 0.99], [0.77595, 0.01]], [[22.44906, 0.99], [44.89811, 0.01]], [[116.74753, 0.99], [233.49506, 0.01]], [[70.74293, 0.99], [141.48586, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.01491, 0.99], [0.02983, 0.01]], [[0.19149, 0.99], [0.38298, 0.01]], [[0.05472, 0.99], [0.10945, 0.01]], [[2.96026, 0.99], [5.92052, 0.01]], [[3.40516, 0.99], [6.81033, 0.01]], [[22.1213, 0.99], [44.2426, 0.01]], [[11.46259, 0.99], [22.92517, 0.01]], [[13.64949, 0.99], [27.29898, 0.01]], [[22.16548, 0.99], [44.33097, 0.01]], [[14.11277, 0.99], [28.22555, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.07882, 0.99], [0.15763, 0.01]], [[0.00615, 0.99], [0.01231, 0.01]], [[0.14638, 0.99], [0.29277, 0.01]], [[1.57859, 0.99], [3.15718, 0.01]], [[0.19533, 0.99], [0.39066, 0.01]], [[0.72461, 0.99], [1.44921, 0.01]], [[3.55492, 0.99], [7.10983, 0.01]], [[0.42321, 0.99], [0.84642, 0.01]], [[23.10434, 0.99], [46.20869, 0.01]], [[47.66199, 0.99], [95.32397, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.01392, 0.99], [0.02784, 0.01]], [[0.14, 0.99], [0.28001, 0.01]], [[0.09267, 0.99], [0.18535, 0.01]], [[0.68172, 0.99], [1.36344, 0.01]], [[1.05829, 0.99], [2.11657, 0.01]], [[1.79815, 0.99], [3.59629, 0.01]], [[2.00817, 0.99], [4.01634, 0.01]], [[0.90862, 0.99], [1.81723, 0.01]], [[5.64481, 0.99], [11.28962, 0.01]], [[31.14084, 0.99], [62.28167, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.06931, 0.99], [0.13862, 0.01]], [[0.10093, 0.99], [0.20185, 0.01]], [[0.07626, 0.99], [0.15252, 0.01]], [[0.5671, 0.99], [1.1342, 0.01]], [[7.22113, 0.99], [14.44227, 0.01]], [[4.60814, 0.99], [9.21629, 0.01]], [[12.44038, 0.99], [24.88076, 0.01]], [[4.13972, 0.99], [8.27945, 0.01]], [[1.41902, 0.99], [2.83804, 0.01]], [[0.82015, 0.99], [1.6403, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.12996, 0.99], [0.25993, 0.01]], [[0.1894, 0.99], [0.3788, 0.01]], [[0.43086, 0.99], [0.86172, 0.01]], [[0.28149, 0.99], [0.56298, 0.01]], [[0.60485, 0.99], [1.2097, 0.01]], [[0.97849, 0.99], [1.95699, 0.01]], [[2.75313, 0.99], [5.50625, 0.01]], [[0.4491, 0.99], [0.8982, 0.01]], [[41.71658, 0.99], [83.43315, 0.01]], [[197.76946, 0.99], [395.53892, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.10742, 0.99], [0.21483, 0.01]], [[0.22202, 0.99], [0.44404, 0.01]], [[0.5702, 0.99], [1.14039, 0.01]], [[1.12551, 0.99], [2.25101, 0.01]], [[5.17967, 0.99], [10.35934, 0.01]], [[0.42464, 0.99], [0.84928, 0.01]], [[6.82895, 0.99], [13.65791, 0.01]], [[0.22555, 0.99], [0.4511, 0.01]], [[9.56742, 0.99], [19.13484, 0.01]], [[16.13959, 0.99], [32.27917, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.03194, 0.99], [0.06387, 0.01]], [[0.10098, 0.99], [0.20196, 0.01]], [[2.32418, 0.99], [4.64836, 0.01]], [[0.41535, 0.99], [0.83071, 0.01]], [[1.36485, 0.99], [2.72969, 0.01]], [[15.57048, 0.99], [31.14096, 0.01]], [[2.81526, 0.99], [5.63053, 0.01]], [[34.27636, 0.99], [68.55271, 0.01]], [[15.4082, 0.99], [30.8164, 0.01]], [[42.03756, 0.99], [84.07512, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.00771, 0.99], [0.01541, 0.01]], [[0.28992, 0.99], [0.57984, 0.01]], [[0.43628, 0.99], [0.87257, 0.01]], [[3.73525, 0.99], [7.4705, 0.01]], [[5.87938, 0.99], [11.75877, 0.01]], [[2.66038, 0.99], [5.32077, 0.01]], [[2.30476, 0.99], [4.60952, 0.01]], [[9.36019, 0.99], [18.72038, 0.01]], [[8.86466, 0.99], [17.72933, 0.01]], [[101.30963, 0.99], [202.61925, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.05755, 0.99], [0.1151, 0.01]], [[0.04859, 0.99], [0.09717, 0.01]], [[0.39889, 0.99], [0.79778, 0.01]], [[0.06645, 0.99], [0.13289, 0.01]], [[0.50008, 0.99], [1.00016, 0.01]], [[1.5912, 0.99], [3.1824, 0.01]], [[3.07653, 0.99], [6.15306, 0.01]], [[24.40388, 0.99], [48.80775, 0.01]], [[12.05189, 0.99], [24.10378, 0.01]], [[0.38719, 0.99], [0.77438, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.04419, 0.99], [0.08838, 0.01]], [[0.87148, 0.99], [1.74296, 0.01]], [[0.20983, 0.99], [0.41966, 0.01]], [[2.95066, 0.99], [5.90131, 0.01]], [[7.73227, 0.99], [15.46454, 0.01]], [[8.67336, 0.99], [17.34672, 0.01]], [[10.05568, 0.99], [20.11136, 0.01]], [[68.97012, 0.99], [137.94024, 0.01]], [[19.79452, 0.99], [39.58903, 0.01]], [[71.74816, 0.99], [143.49633, 0.01]]]

T=[[[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[1.59098, 0.99], [3.18196, 0.01]], [[0.34006, 0.99], [0.68011, 0.01]], [[2.10926, 0.99], [4.21852, 0.01]], [[2.65118, 0.99], [5.30236, 0.01]], [[7.6478, 0.99], [15.2956, 0.01]], [[4.11063, 0.99], [8.22126, 0.01]], [[2.88634, 0.99], [5.77268, 0.01]], [[101.07911, 0.99], [202.15823, 0.01]], [[139.47131, 0.99], [278.94262, 0.01]], [[2.10997, 0.99], [4.21995, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.02197, 0.99], [0.04393, 0.01]], [[0.66738, 0.99], [1.33475, 0.01]], [[0.56097, 0.99], [1.12193, 0.01]], [[0.5542, 0.99], [1.1084, 0.01]], [[0.95322, 0.99], [1.90644, 0.01]], [[6.42312, 0.99], [12.84623, 0.01]], [[1.14679, 0.99], [2.29358, 0.01]], [[5.52381, 0.99], [11.04763, 0.01]], [[42.73835, 0.99], [85.4767, 0.01]], [[43.77488, 0.99], [87.54976, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.17919, 0.99], [0.35838, 0.01]], [[0.05724, 0.99], [0.11448, 0.01]], [[0.08182, 0.99], [0.16365, 0.01]], [[0.06894, 0.99], [0.13788, 0.01]], [[0.16049, 0.99], [0.32097, 0.01]], [[0.02825, 0.99], [0.0565, 0.01]], [[1.18814, 0.99], [2.37628, 0.01]], [[1.94659, 0.99], [3.89317, 0.01]], [[11.3576, 0.99], [22.7152, 0.01]], [[26.14717, 0.99], [52.29435, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.10128, 0.99], [0.20256, 0.01]], [[0.24394, 0.99], [0.48788, 0.01]], [[0.11728, 0.99], [0.23456, 0.01]], [[0.10905, 0.99], [0.2181, 0.01]], [[0.33628, 0.99], [0.67256, 0.01]], [[4.92524, 0.99], [9.85048, 0.01]], [[16.99697, 0.99], [33.99394, 0.01]], [[36.15037, 0.99], [72.30074, 0.01]], [[84.69489, 0.99], [169.38977, 0.01]], [[38.74058, 0.99], [77.48116, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.33002, 0.99], [0.66004, 0.01]], [[0.02903, 0.99], [0.05806, 0.01]], [[0.2282, 0.99], [0.45641, 0.01]], [[0.58373, 0.99], [1.16745, 0.01]], [[2.3473, 0.99], [4.6946, 0.01]], [[9.20529, 0.99], [18.41058, 0.01]], [[1.29044, 0.99], [2.58088, 0.01]], [[66.67141, 0.99], [133.34283, 0.01]], [[29.77101, 0.99], [59.54201, 0.01]], [[39.06274, 0.99], [78.12548, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.05896, 0.99], [0.11792, 0.01]], [[0.08638, 0.99], [0.17275, 0.01]], [[0.36041, 0.99], [0.72082, 0.01]], [[1.27341, 0.99], [2.54682, 0.01]], [[0.32267, 0.99], [0.64533, 0.01]], [[1.79333, 0.99], [3.58665, 0.01]], [[1.03586, 0.99], [2.07172, 0.01]], [[6.50106, 0.99], [13.00213, 0.01]], [[47.10946, 0.99], [94.21892, 0.01]], [[23.2479, 0.99], [46.4958, 0.01]]]

T=[[[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[1000, 0.01], [2000, 0.99]]]
